Track,Album Name,Artist,Release Date,Spotify Streams,Track Length
Tera Ban Jaunga,Kabir Singh,Akhil Sachdeva,6/14/2019,"21,10,95,929",15
Monï¿½ï¿½y so,Up 2 Mï¿,Yeat,9/10/2021,"37,86,68,802",13
Ranjha Maahi,Ranjha Maahi - Single,Siddhant,1/12/2023,"40,654",12
Hotline Bling,Trevor Nelson Club Classics,Drake,11/4/2016,,13
Sure Thing,All I Want Is You,Miguel,5/25/2010,"1,33,59,28,309",10
Talibans,No Love,Byron Messia,1/20/2023,"5,46,83,202",8
Love Story (Taylorï¿½ï¿½ï¿½s Ve,Love Story (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,2/12/2021,"76,32,92,840",31
Skin de Bandida,Skin de Bandida - Single,Oscar Maydon,9/22/2023,"17,69,58,728",15
Escapism. - Sped Up,Escapism. (Sped Up),RAYE,11/25/2022,"27,03,27,239",19
Lisa,Lisa,Young Miko,3/3/2023,"20,99,88,103",4
I Can Feel It,I Can Feel It - Single,Kane Brown,9/21/2023,"3,60,59,521",13
ýýýý ýýýý ýýýýýýýý,ýýýý ýýýý ýýýýýýýý - Single,ýýýýýýýý ýýýýýýýýýýýý,5/2/2024,,18
you should see me in a crown,you should see me in a crown,Billie Eilish,7/18/2018,"86,05,96,912",28
Te Robarï¿,Te Robarï¿,Nicky Jam,3/22/2019,"54,74,83,874",10
Rewrite The Stars (with James Arthur & Anne-Marie),Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,10/25/2018,"85,35,74,945",50
FBI,FBI,Picus,2/29/2024,"65,91,040",3
Come and Say - Original Mix,Relyt Conections 3,"""XY""",11/14/2022,,27
Somebody (2024),Somebody (2024),Gotye,2/9/2024,"5,18,62,502",15
Dandelions,Dandelions,Ruth B.,4/28/2017,"1,56,15,18,107",10
Malvada,Malvada,Zï¿½ï¿½ Fe,1/28/2022,"16,64,27,224",7
I Love You So,I Love You So,The Walters,11/28/2014,"1,41,03,53,130",13
i love you,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,3/29/2019,"93,03,43,185",10
Not Fair,Not Fair,Niklas Dee,6/2/2023,"16,46,67,038",8
Benjamins Deli,Benjamins Deli - Single,JRitt,10/24/2023,"9,96,881",14
Him & I (with Halsey),Him & I,G-Eazy,11/30/2017,"94,96,51,805",21
STAY (with Justin Bieber),Stay,The Kid LAROI,7/9/2021,"3,10,71,00,349",25
TIKTOK,TIKTOK,Ian Lucas,5/23/2024,"21,64,864",6
Call Your Friends,Call Your Friends - Single,Rod Wave,8/18/2023,"4,72,96,342",17
Rosa Pastel,Rosa Pastel,Peso Pluma,4/20/2023,"19,22,31,633",11
Dirt Cheap,Leather,Cody Johnson,11/3/2023,"4,40,47,842",10
Borderline,The Slow Rush,Tame Impala,2/14/2020,"67,13,10,199",10
Tï¿,Encerrados Pero Enfiestados (Live Vol. 1),Carin Leon,5/22/2020,"32,73,11,508",3
No Time To Die,No Time To Die,Billie Eilish,2/13/2020,"61,08,38,644",14
All Eyes on Me,All Eyes on Me - Single,Dj Belite,12/20/2022,"1,55,367",14
En El Radio Un Cochinero,En El Radio Un Cochinero,Victor Cibrian,5/13/2022,"21,58,37,483",24
Safari,Energï¿½,J Balvin,6/3/2016,"55,97,08,419",6
comethru,comethru,Jeremy Zucker,9/7/2018,"82,29,35,346",8
ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý - Single,ýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýý,4/5/2024,"24,09,532",42
ROCKSTAR,$AD BOYZ 4 LIFE II,Junior H,10/5/2023,"26,61,27,900",8
Boy's a liar,Boy's a liar,PinkPantheress,11/30/2022,"20,36,28,716",12
O Patinho Colorido,"Bento e Totï¿½ï¿½, Vo",Bento e Totï¿,11/15/2019,"1,10,29,541",18
La Mejor Version de Mi,La Mejor Versiï¿½ï¿½n d,NATTI NATASHA,2/12/2019,"10,92,21,089",22
B.O.T.A. (Baddest Of Them All),B.O.T.A. (Baddest Of Them All) / Move To The,Eliza Rose,6/15/2022,"4,77,23,324",30
Love Terremoto - Ao Vivo,"Resenha Preferida, Vol. 2 (Ao Vivo)",Os Barï¿½ï¿½es Da Pisad,8/3/2022,"1,70,75,528",24
Lucky Girl Syndrome,SUPER REAL ME,ILLIT,3/25/2024,"2,90,89,538",19
...Baby One More Time (from Kung Fu Panda 4),Kung Fu Panda 4 (Original Motion Picture Soundtrack),Tenacious D,3/8/2024,"2,84,23,160",44
Little Dark Age,Little Dark Age,MGMT,10/17/2017,"64,14,53,269",15
Una Lady Como Tï¿,Una Lady Como Tï¿,Manuel Turizo,12/1/2016,"29,35,372",17
Whatever She Wants,Whatever She Wants,Bryson Tiller,2/12/2024,"20,70,93,873",18
Hypnotized,Hypnotized,Purple Disco Machine,4/8/2020,"35,46,83,755",10
Diable,Bocaterrosa,Ven'nus,2/28/2023,"53,058",6
Laung Laachi Title Track,"Laung Laachi Title Track (From ""Laung Laachi"")",Mannat Noor,2/22/2018,"3,01,73,434",24
Chunni Me Perfume Lagawe,Chunni Me Perfume Lagawe - Single,Gajendra Gurjar,6/13/2022,,24
Koka,Koka,Mankirt Aulakh,11/6/2023,"2,88,16,253",4
ELEVEN,ELEVEN,IVE,12/1/2021,"30,67,60,464",6
Hasta el Amanecer,Hasta el Amanecer,Nicky Jam,1/15/2016,"56,01,03,803",17
Space Cadet (feat. Gunna),NOT ALL HEROES WEAR CAPES,Metro Boomin,11/2/2018,"91,79,16,061",25
Poker Face ( Remix ),Poker Face ( Remix ),Bora Media,10/17/2023,"1,27,10,94,976",20
November Rain (2022 Version),November Rain / Double Talkin' Jive / You Could Be Mine,Guns N' Roses,11/4/2022,"1,43,94,612",28
ýýýýýýýýýýýý ýýýýýýýýýýýý,The End,Lusia Chebotina,10/29/2021,"3,23,18,892",25
We Ride,We Ride - Single,Bryan Martin,10/28/2022,"20,00,17,368",7
Rich Spirit,Mr. Morale & The Big Steppers,Kendrick Lamar,5/13/2022,"25,41,91,262",11
Cochinae,Querian Perreo?,Julianno Sosa,4/19/2022,"15,50,50,178",8
Juju On That Beat (TZ Anthem),Juju On That Beat (TZ Anthem),Zay Hilfigerrr,9/30/2016,"24,33,05,603",29
I'm Not The Only One,In The Lonely Hour (Deluxe),Sam Smith,1/1/2014,"1,87,99,66,374",20
Murder,Murder,Bgnzinho,2/14/2023,"26,13,573",6
Major Distribution,Her Loss,Drake,11/4/2022,"19,96,62,854",18
Psikopat,Psikopat,Butrint Imeri,5/16/2024,"21,12,678",8
Piï¿½ï¿½man Deï¿,Piï¿½ï¿½man Deï¿½ï¿½ilim ,Semicenk,6/2/2023,"13,42,91,091",16
Dynamite,Rokstarr (Special Edition),Taio Cruz,1/1/2010,"1,07,09,23,216",8
Chlorine,Trench,Twenty One Pilots,10/5/2018,"51,79,90,518",8
GIVENCHY,Temporada de Reggaetï¿½ï¿,Duki,7/20/2022,"24,05,19,561",8
Here,Here,Alessia Cara,4/30/2015,"61,64,45,374",4
COME UN TUONO (feat. Guï¿½,RADIO SAKURA,Rose Villain,3/7/2024,"5,35,90,796",26
Favorito,Favorito,Camilo,3/26/2020,"48,87,13,982",8
Royalty,Royalty,Egzod,4/22/2021,"31,72,52,487",7
Am I Wrong,More Music 2013,Nico & Vinz,1/1/2013,"96,58,27,790",10
Tennessee Orange,Tennessee Orange,Megan Moroney,9/2/2022,"22,78,93,586",16
Tennessee Orange,Tennessee Orange,Megan Moroney,9/2/2022,"22,78,93,586",16
Still Trappin' (with King Von),The Voice,Lil Durk,12/24/2020,"17,61,40,377",30
De Fresa y Coco,De Fresa y Coco,Luis R Conriquez,11/10/2023,"8,11,86,913",15
He Dead (Oil Thief Remix),REMXNG 2.1,clipping.,9/21/2022,"14,148",25
YUM YUM (Slowed),YUM YUM,LXNGVX,6/23/2023,"5,22,95,701",16
Issues,Issues,Julia Michaels,1/13/2017,"1,21,48,62,854",6
Element,Meet The Woo 2,Pop Smoke,2/7/2020,"52,34,16,171",7
n.h.i.e.,n.h.i.e.,21 Savage,1/10/2024,"10,28,29,758",8
GOD'S COUNTRY,UTOPIA,Travis Scott,7/28/2023,"9,68,02,469",13
Parado no Bailï¿½,Parado no Bailï¿½,MC L da Vinte,7/23/2018,"38,75,13,964",17
El Paso del Gigante,Los Reyes de los Sonidos,Grupo Soï¿½ï¿½,11/24/2023,"25,684",19
F Boy,F Boy,Ander Huang,8/22/2020,"14,15,206",5
"Yo x Ti, Tu x Mi","Yo x Ti, Tu x Mi",ROSALï¿½,8/15/2019,"57,26,97,124",16
Say It,Say It,Tory Lanez,7/31/2015,"51,01,38,748",6
Ain't Shit,Planet Her,Doja Cat,6/25/2021,"59,95,47,543",10
Dancing With Your Ghost,Dancing With Your Ghost,Sasha Alex Sloan,6/28/2019,"57,37,85,235",23
SIRENS,UTOPIA,Travis Scott,7/28/2023,"10,25,10,409",6
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich The Kid) ,Matuï¿,4/30/2023,"15,95,79,530",40
2 Hielos,2 Hielos,King Savagge,2/2/2023,"7,60,78,240",8
BAD BOY,BAD BOY,Chris Jedi,2/7/2024,"4,20,27,577",7
I Love Mama Mantu,I Love Mama Mantu,Bulan Sutena,11/1/2021,"88,87,656",17
Hall of Fame (feat. will.i.am),NRJ Hits 17,The Script,1/1/2012,"1,43,87,95,892",30
Original som fan,HIPHOPP Vol. 1,OP,10/30/2018,"37,291",16
SLAY!,SLAY!,Eternxlkz,3/15/2024,"8,17,75,807",5
Zaroori Tha,Sahir Ali Bagga Special,Rahat Fateh Ali Khan,12/31/2017,,11
Deixa,Deixa,Maria Marï¿½ï,3/21/2023,"6,47,36,609",5
We Didnï¿½ï¿½ï¿½t Start Th,We Didnï¿½ï¿½ï¿½t Start Th,Fall Out Boy,6/28/2023,"5,22,40,739",26
ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý- Sayonara,ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý!- Sayonara - Single,Kenshi Yonezu,4/8/2024,"2,27,39,117",43
Proud Mary - 2023 Remaster,What's Love Got to Do with It (30th Anniversary Deluxe Edition),Tina Turner,4/26/2024,"20,455",26
Runaway (U & I),Runaway (U & I),Galantis,10/5/2014,"89,50,51,532",15
Ley Seca,Ley Seca,Jhay Cortez,9/2/2021,"41,25,97,562",8
Dawns (feat. Maggie Rogers),Dawns (feat. Maggie Rogers) - Single,Zach Bryan,1/27/2023,"26,14,68,916",27
Mesafe,Mesafe,Semicenk,9/1/2023,"5,99,64,248",6
Numb,Meteora,Linkin Park,3/24/2003,"1,72,08,30,668",4
So High School,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift,4/19/2024,"9,76,01,615",14
Hola,Climaxxx,Dalex,5/10/2019,"2,81,85,177",4
Dark Red,Dark Red,Steve Lacy,2/20/2017,"1,31,50,24,190",8
Diosa,Easy Money Baby,Myke Towers,1/24/2020,"46,58,11,322",5
Sand Monkey,Sand Monkey,Kid Pharaoh,9/1/2022,,11
Wagon Wheel,True Believers,Darius Rucker,1/1/2013,"72,74,17,273",11
Dil Galti Kar Baitha Hai,Dil Galti Kar Baitha Hai,Jubin Nautiyal,9/25/2021,"6,40,13,323",24
Is There Someone Else?,The Highlights (Deluxe),The Weeknd,2/5/2021,"66,90,99,980",22
Dream Girl,Deeper 2.0,Ir Sais,9/27/2017,"13,30,61,000",10
Wild Side (feat. Cardi B),Wild Side (feat. Cardi B) - Single,Normani,7/16/2021,"18,15,29,121",25
Bi' Tek Ben Anlarï¿½,Bi' Tek Ben Anlarï¿½,Kï¿½ï,3/18/2022,"21,43,91,030",20
Location (feat. Burna Boy),PSYCHODRAMA,Dave,3/8/2019,"54,09,07,681",26
Mon Amour,Mon Amour,Annalisa,3/31/2023,"8,63,87,703",9
"Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")","Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")",Pritam,7/18/2023,"9,70,50,082",51
Cake By The Ocean - Cover,SEXY BEACH SONGS,MUSIC LAB JPN,5/28/2023,"1,61,42,03,949",25
Pray For Me,Pray For Me (with Kendrick Lamar),The Weeknd,2/2/2018,"91,84,78,800",11
p r i d e . i s . t h e . d e v i l (with Lil Baby),The Off-Season,J. Cole,5/14/2021,"36,71,65,473",51
Position,Prime,Franglish,2/15/2024,"4,44,56,165",8
Motley Crew,Motley Crew,Post Malone,7/9/2021,"39,92,97,877",11
Poppin,2 Alivï¿,Yeat,2/18/2022,"15,29,99,496",6
Memories,Memories,Conan Gray,4/15/2022,"44,57,42,307",8
Casi Completa,PRESENTE,Juliï¿½ï¿½n ï¿½ï¿½lvarez y su Norteï,11/17/2023,"6,46,56,678",13
JOLENE,COWBOY CARTER,Beyoncï¿,3/27/2024,"5,71,63,264",6
Roï¿½ï¿½a Em,Roï¿½ï¿½a Em,Zï¿½ï¿½ Fe,11/17/2022,"19,26,84,719",12
"Sugarcane (Remix) [feat. King Promise, Mayorkun & Darkoo]","Sugarcane (Remix) [feat. King Promise, Mayorkun & Darkoo]",Camidoh,4/8/2022,"5,24,18,564",57
Kya Hua,Blackout (Original Motion Picture Soundtrack),Vishal Mishra,5/31/2024,"96,766",7
TOES (feat. Lil Baby & Moneybagg Yo),KIRK,DaBaby,9/27/2019,"34,96,88,559",36
Ch-Ch-Ch Chick (feat. Chick McGee),A Couple of Nuts,Bob and Tom,4/18/2013,"3,115",34
10 Things I Hate About You,10 Things I Hate About You,Leah Kate,3/23/2022,"23,85,02,829",26
Adios Amor,Adios Amor,Christian Nodal,2/16/2018,"59,78,99,105",10
X ï¿½ï¿½LTIMA,LEGENDADDY,Daddy Yankee,3/25/2022,"40,93,94,001",13
Lalala - Ilkan Gunuc Remix,Lalala (Ilkan Gunuc Remix),Y2K,10/28/2019,"2,82,40,865",26
Poco A Poco,Poco A Poco - Single,Xavi,9/23/2023,"28,30,79,113",11
The Alchemy,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,"10,62,01,248",11
Sunday Service,Sunday Service,Latto,2/9/2024,"1,22,70,831",14
Red Ruby Da Sleeze,Red Ruby Da Sleeze,Nicki Minaj,3/3/2023,"14,85,74,146",18
Mama,Mama,Jonas Blue,5/5/2017,"95,55,63,174",4
Puta Mexicana,Som das Regiï¿½ï,DJ Jeeh FDC,12/6/2022,"17,26,02,494",13
Self Care,Self Care,Mac Miller,7/13/2018,"68,78,61,392",9
Out of Time,The Highlights (Deluxe),The Weeknd,2/5/2021,"45,18,78,749",11
Karma,Midnights (3am Edition),Taylor Swift,10/21/2022,"77,73,05,444",5
About You,Being Funny In a Foreign Language,The 1975,10/14/2022,"35,03,48,521",9
BED,BED,Joel Corry,2/26/2021,"48,07,37,112",3
23,23,Chayce Beckham,5/14/2021,"21,75,24,988",2
I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,"25,04,30,303",31
Andas En Mi Cabeza,Bachatas Mix,Chino & Nacho,4/22/2017,,18
Remember,Club House,Becky Hill,4/23/2021,"45,36,44,642",8
Here's Your Perfect,Here's Your Perfect,Jamie Miller,4/30/2021,"41,89,98,816",19
Highs & Lows,Highs & Lows,Prinz,6/2/2023,"6,47,47,926",12
Survivorï¿½ï¿½ï¿½s R,Survivorï¿½ï¿½ï¿½s R,Roddy Ricch,5/31/2024,"44,62,637",20
Halloween,Halloween,Blood Dance,10/6/2022,"7,332",9
Impossible,Impossible - Single,RIIZE,4/18/2024,"1,63,27,372",10
El Rescate,El Rescate - Single,Grupo Marca Registrada,7/22/2022,"39,17,73,238",10
Wockesha,A Gangstaï¿½ï¿½ï¿½,Moneybagg Yo,4/23/2021,"13,81,00,044",8
Mirame,Mirame - Single,Blessd,4/17/2024,"2,43,45,826",6
Pantysito,Pantysito,Alejo,3/18/2022,"33,21,75,085",9
brutal,SOUR,Olivia Rodrigo,5/21/2021,"63,99,00,946",6
Recognize (feat. Drake),PARTYNEXTDOOR TWO,PARTYNEXTDOOR,7/29/2014,"27,54,65,440",23
Daylight,For All The Dogs,Drake,10/6/2023,"7,84,17,212",8
Lovefool,Lovefool,twocolors,5/8/2020,"35,97,57,970",8
Rich Flex,Her Loss,Drake,11/3/2022,"81,18,88,874",9
MEMORIAS,Microdosis,Mora,4/1/2022,"35,93,36,745",8
Mood Malandro,Mood Malandro,Cï¿½ï¿½dig,8/24/2023,"18,83,09,858",13
JACKIE BROWN,WASTELAND,Brent Faiyaz,7/8/2022,"24,73,86,146",12
TELEFONO NUEVO,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/2023,"10,17,06,440",14
Danï¿½ï¿½a Ma,Danï¿½ï¿½a Ma,Bolofofos,5/3/2019,"1,04,23,140",13
Kalkatiya Raja,Kalkatiya Raja,Pawan Singh,9/22/2023,"86,07,782",14
Drippy,Drippy,Sidhu Moose Wala,2/2/2024,"3,98,91,157",6
Never Going Home,Summer 2021,Kungs,4/28/2021,"30,40,69,347",16
Problemï¿½,Problemï¿½,Alvaro Diaz,10/22/2021,"27,54,92,185",10
Waiting for the End,Papercuts,Linkin Park,4/12/2024,"16,01,27,218",19
Pacto (feat. Luar La L),Pacto (feat. Luar La L),Jay Wheeler,4/24/2023,"5,86,52,026",23
Nena Maldiciï¿½ï¿½n (feat. Lenny Tavï¿,Nena Maldicion (feat. Lenny Tavarez),Paulo Londra,1/30/2018,"61,48,97,887",38
Talk talk,BRAT,Charli xcx,6/7/2024,"64,46,985",9
Daisy,Daisy,Ashnikko,7/9/2020,"50,93,53,753",5
Fast Forward,GAME PLAN,JEON SOMI,8/7/2023,"8,84,99,180",12
Ice Attack,WE DON'T TRUST YOU,Future,3/22/2024,"3,89,12,003",10
Stolen Dance,Die Ultimative Chartshow - Hits 2013,Milky Chance,1/1/2013,"1,46,09,45,792",12
Set Me Free Pt.2,Set Me Free Pt.2,Jimin,3/17/2023,"35,08,02,342",16
Satu Rasa Cinta,Satu Rasa Cinta,Fira Cantika,12/16/2022,,15
Azul,Colores,J Balvin,3/19/2020,"48,96,54,759",4
LOCATION,LOCATION,KAROL G,2/12/2021,"23,66,44,328",8
Terminator,Terminator,King Promise,5/5/2023,"3,40,26,239",10
Orang Yang Salah - Sped Up Version,Orang Yang Salah (Sped Up Version),Luvia band,9/20/2023,"39,00,009",34
Snowman,Snowman,Sia,11/9/2017,"94,77,70,190",7
Hurricane,Donda,Kanye West,8/29/2021,"40,44,97,617",9
Rumah Singgah,Rumah Singgah,Fabio Asher,5/5/2022,"23,96,24,643",13
Strip That Down (feat. Quavo),Strip That Down,Liam Payne,5/18/2017,"1,00,05,49,809",29
IT GIRL - Sped up Version,IT GIRL (Sped up Version),Aliyah's Interlude,9/30/2023,"2,37,08,233",25
Khodni,Khodni - Single,AL SHAMI,5/16/2024,"9,16,695",6
Lost in the Fire (feat. The Weeknd),Lost in the Fire (feat. The Weeknd),Gesaffelstein,1/11/2019,"89,54,96,661",35
Minha Heranï¿½,Minha Heranï¿½,Ana Castela,5/30/2024,"35,82,494",14
Diva Yorgun,Diva Yorgun,Melike ï¿½ï¿½,6/16/2023,"6,24,58,329",11
Can't Get Enough,Can't Get Enough,Jennifer Lopez,1/10/2024,"92,93,098",16
The Man He Sees in Me,The Man He Sees in Me,Luke Combs,6/6/2024,"59,42,861",21
Dilemma,Nellyville (Explicit Version),Nelly,6/25/2002,"85,99,99,247",7
20 Tragos,20 Tragos,Yiï¿½,11/25/2022,"4,77,396",9
My wrist (with Young Thug),My wrist (with Young Thug),Yeat,5/26/2023,"8,33,93,310",26
GigaChad Theme - Phonk House Version,GigaChad Theme (Phonk House Version),g3ox_em,8/22/2022,"28,27,76,356",36
Jackie Chan,Jackie Chan,Tiï¿½ï¿,5/18/2018,"86,73,18,774",11
Words (feat. Zara Larsson),Words (feat. Zara Larsson),Alesso,4/22/2022,"38,39,45,607",26
Bombonzinho - Ao Vivo,Bombonzinho (Ao Vivo),Israel & Rodolffo,11/3/2022,"34,37,04,935",21
Mil Preguntas,Mil Preguntas - Single,The La Planta,3/7/2024,"2,70,26,914",13
OJALï¿,OJALï¿,Maria Becerra,6/1/2022,"16,87,10,415",6
Bejeweled,Midnights,Taylor Swift,10/21/2022,"53,61,10,386",9
Lovin On Me,Lovin On Me - Single,Jack Harlow,11/10/2023,"66,92,06,771",11
Back for More (with Anitta),Back for More (with Anitta),TOMORROW X TOGETHER,9/15/2023,"9,39,90,459",27
Heaven,Kane Brown (Deluxe Edition),Kane Brown,10/6/2017,"49,23,61,216",6
Rolex,Rolex,Ayo & Teo,1/13/2017,"49,13,58,577",5
That Girl,That Girl,Amrinder Gill,5/24/2024,"41,28,853",9
FERXXO 151,FERXXO 151,Feid,8/25/2023,"10,68,99,723",10
Dhaniya Ae Jaan,Dhaniya Ae Jaan,Pawan Singh,9/14/2023,"58,42,217",15
Young And Beautiful,Music From Baz Luhrmann's Film The Great Gatsby,Lana Del Rey,1/1/2013,"1,25,64,88,099",19
United In Grief,Mr. Morale & The Big Steppers,Kendrick Lamar,5/13/2022,"24,64,25,341",15
Drunk in Love,Beyoncï¿½ï¿½ (Del,Beyoncï¿,12/13/2013,"60,73,15,454",13
La Vida Sin Ti,La Vida Sin Ti,Rels B,4/22/2024,"5,01,71,337",14
FREAK,YUQ1,YUQI,4/23/2024,"99,56,970",5
Casa Mia,Casa Mia,Ghali,2/7/2024,"5,51,57,600",8
Kaikai Kitan,ýýýýýýýýýýýý,Eve,10/3/2020,"40,47,65,225",12
Opp Stoppa (feat. 21 Savage),Opp Stoppa (feat. 21 Savage),YBN Nahmir,1/22/2021,"24,69,49,197",28
Mary On A Cross,Seven Inches Of Satanic Panic,Ghost,9/13/2019,"58,91,45,587",15
Go Fuck Yourself,First Steps,Two Feet,7/29/2016,"64,91,91,183",16
Crocodile Tearz,Might Delete Later,J. Cole,4/5/2024,"3,70,57,985",15
PLIS,PLIS,Camilo,2/6/2024,"3,78,14,314",4
Back to Me,VULTURES 1,Kanye West,2/9/2024,"7,74,03,728",10
Antidepresan,Antidepresan,Mert Demir,11/4/2022,"17,23,62,945",12
Rise,Rise,Jonas Blue,5/25/2018,"87,25,18,334",4
Summertime Sadness,Born To Die (Deluxe Version),Lana Del Rey,1/1/2011,"1,44,28,72,605",18
8:00 AM,8:00 AM,Nicki Nicole,5/17/2023,"13,54,65,283",7
PICK IT UP (feat. A$AP Rocky),Pick It Up (feat. A$AP Rocky),Famous Dex,10/20/2017,"57,75,34,277",29
Double Fantasy (with Future),Double Fantasy,The Weeknd,4/21/2023,"18,09,40,067",28
Jungle,Jungle,Alok,9/22/2023,"11,12,66,488",6
Fisherrr,Fisherrr - Single,Cash Cobain,2/28/2024,"92,15,777",8
Thank You for Being You,Thank You for Being You,OctaSounds,9/7/2022,"22,48,788",23
Wild as Her,Wild as Her,Corey Kent,3/4/2022,"18,01,86,017",11
Beautiful (feat. Camila Cabello),Beautiful (feat. Camila Cabello),Bazzi,8/2/2018,"73,74,82,160",32
Black Friday,Black Friday,Tom Odell,9/20/2023,"12,69,29,488",12
Summertime Sadness (Sped Up),Summertime Sadness (Sped Up),Lana Del Rey,5/4/2022,"6,82,35,585",28
Ignorantes,Ignorantes,Bad Bunny,2/14/2020,"67,15,72,185",10
Break Free,Pop Party 13,Ariana Grande,1/1/2014,"89,98,30,382",10
Risk,Risk,Gracie Abrams,5/1/2024,"4,11,14,784",4
"Nathy Peluso: Bzrp Music Sessions, Vol. 36","Nathy Peluso: Bzrp Music Sessions, Vol. 36",Bizarrap,11/27/2020,"28,63,81,494",42
WY@,WY@,Brent Faiyaz,9/19/2023,"5,47,63,093",3
Acapulco,Acapulco,Jason Derulo,9/3/2021,"44,22,60,324",8
GHOST TOWN,GHOST TOWN,Benson Boone,10/15/2021,"38,21,77,076",10
Bande organisï¿½,Bande organisï¿½,13 Organisï¿,8/15/2020,"26,72,41,905",16
Only Human,Happiness Begins,Jonas Brothers,6/7/2019,"50,84,63,163",10
Daddy Issues,Wiped Out!,The Neighbourhood,10/30/2015,"1,43,53,72,572",12
Cha Cha Cha,Cha Cha Cha,Kï¿½ï¿½ï¿½,1/17/2023,"14,33,11,775",11
Raining In Manila,Raining In Manila,Lola Amour,6/14/2023,"13,61,69,854",17
Diabï¿½ï¿½,Diabï¿½ï¿½,Cris Mj,11/8/2023,"8,39,66,111",10
HE KNOWS (feat. Lil Nas X),HE KNOWS (feat. Lil Nas X),Camila Cabello,5/10/2024,"1,42,34,598",26
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Feels,Calvin Harris,6/16/2017,"1,12,01,87,276",54
Everybody make some Tik Tok,Everybody make some some Tik Tok,Bounce Oï¿½ï¿½ï¿,5/22/2019,"5,32,262",27
Another Love (Tiï¿½ï¿½sto Re,Another Love (Tiï¿½ï¿½sto Re,Tom Odell,5/13/2022,"14,11,41,890",28
"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)",His & Hers,Internet Money,5/13/2021,"22,48,20,131",52
Tu Aake Dekhle,The Carnival,King,9/21/2020,"41,06,39,967",14
Red Leather,WE STILL DON'T TRUST YOU,Future,4/12/2024,"2,27,15,763",11
Viva La Vida,Meu Pai ï¿½ï¿½ do ,Coldplay,9/21/2005,"2,10,22,23,775",12
Nice to Meet You,Nice to Meet You,Imagine Dragons,5/24/2024,"1,50,62,636",16
Verte Ir,Verte Ir,DJ Luian,3/28/2019,"55,09,67,367",8
Pink + White,Blonde,Frank Ocean,8/20/2016,"1,29,96,50,856",12
Mother,Takin' It Back (Deluxe),Meghan Trainor,3/4/2023,"7,97,38,242",6
Flashback (feat. Gazo),Flashback,Favï¿,9/15/2023,"8,80,14,813",22
Space Song,Depression Cherry,Beach House,8/21/2015,"1,09,90,69,598",10
OKAY,OKAY (Versions),JT,4/24/2024,"1,64,46,111",4
Rude,Rude,MAGIC!,7/23/2013,,4
Chill Bill,The RCA-List (Vol. 2),Rob $tone,1/1/2016,"84,38,61,768",10
My Way,My Way,Calvin Harris,9/16/2016,"1,01,45,34,913",6
Big City Life,Big City Life,Luude,6/16/2022,"18,13,23,700",13
Luchï¿½ï¿½ La,Luchï¿½ï¿½ La Ley - Si,BoomBoxRepairKit,5/20/2022,,13
Wife,Wife,(G)I-DLE,1/21/2024,"5,89,09,647",4
'Till I Collapse,The Eminem Show,Eminem,5/26/2002,"1,95,88,09,069",16
No Hands (feat. Roscoe Dash & Wale),No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,9/6/2010,"66,22,57,934",35
Jumbotron Shit Poppin,Her Loss,Drake,11/4/2022,"12,62,96,463",21
La Nota,La Nota,Manuel Turizo,10/8/2020,"56,09,49,285",7
Amor a Primera Vista,Amor a Primera Vista,Los ï¿½ï¿½ngeles Az,6/14/2019,"34,68,60,422",20
Solo,Solo,Myles Smith,11/15/2023,"9,57,47,052",4
UNFORGIVEN (feat. Nile Rodgers),UNFORGIVEN,LE SSERAFIM,5/1/2023,"22,36,52,808",31
ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,Bonnadol,3/15/2023,"4,78,756",72
Elini Ver,Elini Ver,Amo988,5/15/2024,"1,53,52,061",9
Sex Music,Sex Music,Tank,6/29/2010,"52,83,089",9
Porfa,Porfa,Feid,12/13/2019,"39,61,84,710",5
